"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location,Action Taken
ACC,Staff,Inappropriate/Offensive,1,unprofessional plaque,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,2,calendar,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,magnet,Workplace Common Area,Removed
ACC,Staff,Inappropriate/Offensive,1,magnet,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,business card,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,morale coin,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,220,suggestive photos,Share drive,Removed
ACC,Squadron,Unprofessional,1,graffiti,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,26,graffiti,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,graffiti,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,8,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,6,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,poster,Workplace Common Area,Removed
ACC,Staff,Unprofessional,1,poster,Workplace Common Area,Removed
ACC,Staff,Unprofessional,2,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,bottles of alcohol,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,bottle of alcohol,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area,Removed
ACC,Staff,Unprofessional,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,Morale patch,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,r-rated movies,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,r-rated movies,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,board game,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Doofer book,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,Notebook with inappropriate language and photo,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,12,historic nose art,Share drive,Removed
ACC,Squadron,Unprofessional,17,historic squadron emblem,Share drive,Removed
ACC,Squadron,Unprofessional,1,historic squadron emblem,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Pole,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,historic squadron emblem,Share drive,Removed
ACC,Squadron,Unprofessional,15,historic squadron emblem,Share drive,Removed
ACC,Squadron,Inappropriate/Offensive,1,slide with inappropriate language and photo,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,Paper with inappropriate language,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,file with inappropriate language,Share drive,Removed
ACC,Squadron,Unprofessional,2,Historical nose art photographs,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,nose art photograph,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,7,Miscellaneous flight suit patches,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,15,Inappropriate pictures,Share drive,Removed
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,15,VHS and DVD Movies,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Poster,Workplace Common Area,Removed
