"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Squadron,Unprofessional,3,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Workout Chart,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Training Chart,Workplace Common Area
ACC,Squadron,Unprofessional,3,Magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,4,inappropriate comments on whiteboards,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,inappropriate pictures/docs,Share drive
ACC,Squadron,Inappropriate/Offensive,1,Offensive Calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Offensive Comic Strip Jokes,Workplace Common Area
ACC,Squadron,Unprofessional,6,Mags w/ pictures of models,Workplace Common Area
ACC,Squadron,Unprofessional,11,Heritage Nose Art,Share drive
ACC,Squadron,Unprofessional,1,Heritage Nose Art,Share drive
ACC,Squadron,Unprofessional,1,Vulgar Advertisement,Share drive
ACC,Squadron,Inappropriate/Offensive,1,Signed cheerleader poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropraite poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,1,Picture,Share drive
ACC,Squadron,Unprofessional,1,Picture,Share drive
ACC,Squadron,Unprofessional,1,Picture,Share drive
ACC,Squadron,Unprofessional,1,Picture,Share drive
ACC,Squadron,Unprofessional,1,Calendar,Workplace Common Area
ACC,Squadron,Unprofessional,1,Book,Workplace Common Area
ACC,Squadron,Unprofessional,1,Bumper Sticker,Workplace Common Area
ACC,Squadron,Unprofessional,1,Picture with double-meaning word,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate cartoon,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate cartoon,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Coozy,Workplace Common Area
ACC,Squadron,Unprofessional,1,Cuss book,Workplace Common Area
ACC,Squadron,Unprofessional,1,Photo,Workplace Common Area
ACC,Squadron,Unprofessional,5,Electronic photos,Share drive
ACC,Squadron,Unprofessional,1,Smokeless tobacco,Workplace Common Area
ACC,Squadron,Unprofessional,1,Bottle of alcohol,Workplace Common Area
ACC,Squadron,Unprofessional,1,Bottle of alcohol,Workplace Common Area
