Name,Address,City,Category,Rating,URL
Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/katonah-pizza-and-pasta-bronx
Avitable Bros,1016 McLean Ave,Yonkers,Delis,4.5,http://www.yelp.com/biz/avitable-bros-yonkers
La Grotta Trattoria,811 McLean Ave,Yonkers,Italian,4.5,http://www.yelp.com/biz/la-grotta-trattoria-yonkers
Three Boys From Italy,704 Burke Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/three-boys-from-italy-bronx
HIM Ital Health Food Market,4374b White Plains Rd,Bronx,Health Markets,4.5,http://www.yelp.com/biz/him-ital-health-food-market-bronx-2
Mario's Pizza,79 E Gun Hill Road,Bronx,Pizza,3.5,http://www.yelp.com/biz/marios-pizza-bronx
Feroza's Restaurant Roti,716 Burke Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/ferozas-restaurant-roti-bronx
Barbecue Pit,5788 Mosholu Ave,Bronx,Barbeque,3.5,http://www.yelp.com/biz/barbecue-pit-bronx
Wok Wok Chinese Restaurant,3412 Jerome Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/wok-wok-chinese-restaurant-bronx
Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
Mike's Deli,2344 Arthur Ave,Bronx,Caterers,4.5,http://www.yelp.com/biz/mikes-deli-bronx
Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
