time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-08T15:45:00.000Z,63.1899,-151.6052,10.5,2.7,ml,,,,0.92,ak,ak11286851,2014-06-08T23:47:40.775Z,"123km NW of Talkeetna, Alaska",earthquake
2014-06-08T15:10:52.640Z,38.3599,22.1492,10,4.8,mb,,33,0.676,0.46,us,usc000rcqw,2014-06-08T23:13:27.090Z,"13km NNE of Aigion, Greece",earthquake
2014-06-08T13:59:53.000Z,63.5654,-147.7163,0,2.7,ml,,,,0.82,ak,ak11286768,2014-06-08T22:04:01.941Z,"64km ENE of Cantwell, Alaska",earthquake
2014-06-08T12:13:21.750Z,11.9041,144.0144,35.73,4.8,mb,,63,1.87,0.73,us,usc000rcqm,2014-06-08T20:16:00.898Z,"166km SSW of Merizo Village, Guam",earthquake
2014-06-08T12:12:04.900Z,35.5315,-85.0905,13.9,2.8,md,21,100.799991936001,0.03593261,0.13,se,se60051917,2014-06-09T20:18:43.291Z,"8km WNW of Dayton, Tennessee",earthquake
2014-06-08T11:08:46.130Z,-15.9509,-179.7157,1,4.9,mb,,126,2.783,0.76,us,usc000rcqa,2014-06-08T19:11:26.343Z,"109km ENE of Lambasa, Fiji",earthquake
2014-06-08T10:37:26.220Z,-57.4389,147.5582,9.59,4.8,mb,,113,14.547,0.41,us,usc000rcq7,2014-06-08T18:40:07.908Z,"West of Macquarie Island",earthquake
2014-06-08T09:27:25.600Z,36.4572,70.6698,203.9,4.3,mb,,73,0.671,0.82,us,usc000rcq1,2014-06-08T17:29:55.280Z,"47km SSW of Jarm, Afghanistan",earthquake
2014-06-08T09:15:02.920Z,19.5646,96.1956,35.4,4.6,mb,,97,2.702,0.59,us,usc000rcpy,2014-06-08T10:07:57.776Z,"18km S of Pyinmana, Burma",earthquake
2014-06-08T08:47:50.000Z,61.4805,-140.7169,0,2.5,ml,,,,0.53,ak,ak11286584,2014-06-08T16:50:20.491Z,"183km NNE of Cape Yakataga, Alaska",earthquake
2014-06-08T08:13:49.960Z,-32.5889,-71.9218,15.92,4.8,mb,,135,0.855,0.59,us,usc000rcpl,2014-06-08T16:16:31.267Z,"57km NNW of Valparaiso, Chile",earthquake
2014-06-08T08:10:43.500Z,18.6422,-68.188,66,2.8,Md,7,334.8,1.03575752,0.25,pr,pr14159002,2014-06-08T16:13:22.034Z,"23km ENE of Punta Cana, Dominican Republic",earthquake
2014-06-08T07:50:05.000Z,61.4923,-140.7066,0,2.7,ml,,,,0.66,ak,ak11286544,2014-06-08T15:54:08.733Z,"184km NNE of Cape Yakataga, Alaska",earthquake
2014-06-08T06:38:55.570Z,11.4729,-86.6107,54.64,4.4,mb,,185,0.666,1.01,us,usc000rcpd,2014-06-08T14:41:36.789Z,"36km SSW of Masachapa, Nicaragua",earthquake
2014-06-08T06:34:54.730Z,19.1492,121.0688,35,4.2,mb,,126,3.65,0.99,us,usc000rcpb,2014-06-08T14:37:29.715Z,"59km N of Claveria, Philippines",earthquake
2014-06-08T06:05:06.380Z,-31.2804,-66.3882,8.53,4.9,mb,,92,1.98,0.82,us,usc000rcp9,2014-06-08T17:57:53.994Z,"21km ENE of Chepes, Argentina",earthquake
2014-06-08T05:35:39.120Z,9.469,126.1885,35,4.7,mb,,118,8.719,0.57,us,usc000rcp7,2014-06-08T13:39:49.827Z,"20km N of Cortes, Philippines",earthquake
2014-06-08T05:30:29.000Z,60.573,-150.6006,23,3.3,ml,,,,0.81,ak,ak11286487,2014-06-08T13:33:11.917Z,"9km ENE of Sterling, Alaska",earthquake
2014-06-08T05:24:32.690Z,39.184,141.6849,88.7,5.2,mb,,93,3.042,0.75,us,usc000rcp4,2014-06-08T11:27:04.980Z,"12km NNW of Ofunato, Japan",earthquake
2014-06-08T05:23:07.800Z,18.1088,-67.6675,63,2.6,Md,4,313.2,0.53898917,0.09,pr,pr14159001,2014-06-08T13:27:26.317Z,"50km W of Puerto Real, Puerto Rico",earthquake
2014-06-08T04:33:22.250Z,13.3376,120.2885,84.95,4.7,mb,,105,8.284,0.65,us,usc000rcnu,2014-06-08T12:37:52.360Z,"20km WSW of Paluan, Philippines",earthquake
2014-06-08T03:07:25.770Z,-15.605,167.2967,5.55,4.8,mb,,163,0.181,0.58,us,usc000rcni,2014-06-08T04:30:26.077Z,"16km ESE of Luganville, Vanuatu",earthquake
2014-06-08T02:23:32.000Z,67.7448,-162.474,24.9,3.6,ml,,,,1.22,ak,ak11286445,2014-06-08T10:26:06.888Z,"28km NE of Noatak, Alaska",earthquake
2014-06-08T01:37:01.700Z,18.184,-64.9585,124,2.9,Md,15,205.2,0.16708664,0.17,pr,pr14159000,2014-06-08T09:39:43.133Z,"17km S of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-06-08T00:12:32.340Z,17.53,-82.6487,14.78,4.2,mb,,57,2.253,0.76,us,usc000rcn4,2014-06-08T08:15:08.933Z,"136km E of Great Swan Island, Honduras",earthquake
2014-06-07T22:23:21.680Z,23.3067,94.1108,67.31,4.4,mb,,100,3.047,0.77,us,usc000rcms,2014-06-08T06:26:00.987Z,"47km SW of Mawlaik, Burma",earthquake
2014-06-07T22:18:46.000Z,67.6713,-162.3728,13.6,3.1,ml,,,,0.8,ak,ak11286315,2014-06-08T06:21:43.170Z,"27km ENE of Noatak, Alaska",earthquake
2014-06-07T21:17:03.700Z,19.4247,-155.2748,0.5,2.5,Ml,,68.4,0,0.33,hv,hv60709416,2014-06-08T05:21:59.666Z,"3km W of Volcano, Hawaii",earthquake
2014-06-07T20:45:20.900Z,18.6555,-66.7676,100,3.1,Md,30,219.6,0.18595126,0.18,pr,pr14158010,2014-06-08T04:47:48.521Z,"19km NNE of Hatillo, Puerto Rico",earthquake
2014-06-07T19:10:59.510Z,-19.791,-71.151,13.74,4.2,mwr,,140,0.987,0.85,us,usc000rckj,2014-06-08T03:13:41.419Z,"115km WNW of Iquique, Chile",earthquake
2014-06-07T18:49:59.200Z,19.2252,-67.78,25,3,Md,7,259.2,0.90729844,0.1,pr,pr14158009,2014-06-10T17:24:15.000Z,"96km NE of Punta Cana, Dominican Republic",earthquake
2014-06-07T16:54:44.000Z,67.7221,-162.406,15.2,2.5,ml,,,,0.42,ak,ak11285870,2014-06-08T00:57:26.249Z,"29km NE of Noatak, Alaska",earthquake
2014-06-07T16:33:30.000Z,69.0076,-144.6037,38.3,2.8,ml,,,,1.17,ak,ak11285866,2014-06-08T00:36:08.996Z,"105km NNE of Arctic Village, Alaska",earthquake
2014-06-07T16:15:11.500Z,21.1923,-157.1483,0,2.8,Ml,,172.8,0.06288207,0.1,hv,hv60709286,2014-06-08T16:47:02.997Z,"11km WNW of Kualapu'u, Hawaii",earthquake
2014-06-07T14:52:24.700Z,35.8201675,-119.8893356,7.78,2.69,md,45,227,0.2238,0.14,nc,nc72234136,2014-06-09T18:48:14.969Z,"21km SE of Kettleman City, California",earthquake
2014-06-07T14:33:43.000Z,67.7385,-162.7211,24.2,4,ml,,,,1.18,ak,ak11285737,2014-06-07T22:36:21.371Z,"21km NNE of Noatak, Alaska",earthquake
2014-06-07T13:55:18.400Z,-35.1504,-71.8516,49.81,4.5,mb,,126,0.154,0.78,us,usc000rchu,2014-06-08T22:03:55.008Z,"35km NNW of Talca, Chile",earthquake
2014-06-07T13:26:41.700Z,19.0632,-66.8342,43,3,Md,16,244.8,0.646787,0.1,pr,pr14158007,2014-06-07T21:29:09.641Z,"63km N of Hatillo, Puerto Rico",earthquake
2014-06-07T13:23:56.000Z,19.0571,-66.8395,30,2.6,Md,7,284.4,0.6404988,0.28,pr,pr14158008,2014-06-07T21:26:51.322Z,"63km N of Hatillo, Puerto Rico",earthquake
2014-06-07T13:11:37.800Z,50.7093,157.1119,55.59,5.6,mb,,119,2.43,0.77,us,usc000rche,2014-06-08T17:56:35.000Z,"69km E of Severo-Kuril'sk, Russia",earthquake
2014-06-07T12:19:52.000Z,60.3536,-153.9885,100,2.6,ml,,,,1.99,ak,ak11285572,2014-06-07T20:23:32.814Z,"70km WSW of Redoubt Volcano, Alaska",earthquake
2014-06-07T11:53:11.000Z,67.799,-162.4005,15.9,3.2,ml,,,,0.62,ak,ak11285502,2014-06-07T19:55:48.972Z,"34km NE of Noatak, Alaska",earthquake
2014-06-07T11:17:38.600Z,18.801,-67.4404,21,2.6,Md,6,324,0.45544585,0.07,pr,pr14158006,2014-06-07T19:20:07.517Z,"49km NW of San Antonio, Puerto Rico",earthquake
